Entidad,Fecha,Créditos_Consumo_Miles_de_S,Créditos_Hipotecarios_Miles_de_S,Créditos_Corporativos_Miles_de_S,Créditos_Medianas_Empresas_Miles_de_S,Créditos_Pequeñas_Empresas_Miles_de_S,Créditos_Microempresas_Miles_de_S,Créditos_Vigentes_Miles_de_S,Créditos_Vencidos_Miles_de_S,Ratio_de_Capital_Global_pct,Morosidad_pct,ROE_pct,ROA_pct
Banca Múltiple,2001-01-31,4002271,3267395,,,,1264951,30892957,1813619,12.38,10.54,3.23,0.33
Banca Múltiple,2001-02-28,3966153,3248943,,,,1314726,31104882,1722727,12.6,10.33,3.36,0.35
Banca Múltiple,2001-03-31,3933768,3254261,,,,1024046,31502277,1737392,12.45,10.31,3.28,0.33
Banca Múltiple,2001-04-30,3836397,3336670,,,,1127244,31975014,1903843,12.24,10.48,3.22,0.31
Banca Múltiple,2001-05-31,3766399,3369240,,,,1152464,32434111,1858986,12.09,10.22,3.5,0.34
Banca Múltiple,2001-06-30,3683100,3279842,,,,1112237,31505450,1662910,12.27,9.88,3.41,0.34
Banca Múltiple,2001-07-31,3464979,3273916,,,,968948,30731209,1630515,12.41,9.99,3.78,0.37
Banca Múltiple,2001-08-31,3442988,3280454,,,,957799,30620885,1657072,12.63,10.04,4.28,0.43
Banca Múltiple,2001-09-30,3417119,3292246,,,,903362,30275466,1532081,13.08,9.9,4.47,0.43
Banca Múltiple,2001-10-31,3357276,3258054,,,,882850,29962332,1435286,13.5,9.62,4.8,0.47
Banca Múltiple,2001-11-30,3377319,3276296,,,,918425,29621126,1485164,13.35,9.74,4.77,0.47
Banca Múltiple,2001-12-31,3199447,3576242,,,,930187,30409275,1344261,12.76,9.01,4.46,0.43
Banca Múltiple,2002-01-31,3202381,3600718,,,,915212,29995792,1382605,13.04,9.38,5.13,0.51
Banca Múltiple,2002-02-28,3173963,3596877,,,,918298,30533439,1365604,12.74,9.05,5.89,0.58
Banca Múltiple,2002-03-31,3156830,3583125,,,,926961,30246492,1319265,13.2,9.0,6.14,0.61
Banca Múltiple,2002-04-30,3043674,3652473,,,,960374,30406496,1346621,13.34,8.82,6.59,0.67
Banca Múltiple,2002-05-31,3087896,3733277,,,,993566,31013395,1359673,13.07,8.6,6.57,0.66
Banca Múltiple,2002-06-30,3158558,3802599,,,,1013297,31760419,1225613,12.8,8.02,6.94,0.7
Banca Múltiple,2002-07-31,3193346,3866955,,,,955871,31893672,1379475,12.86,8.35,6.96,0.68
Banca Múltiple,2002-08-31,3261668,3963753,,,,777525,32116103,1402243,12.65,8.31,7.16,0.7
Banca Múltiple,2002-09-30,3333633,4018856,,,,765162,32394854,1386467,13.08,8.09,7.28,0.72
Banca Múltiple,2002-10-31,3395639,4031616,,,,815318,32206768,1386579,13.86,8.15,6.98,0.7
Banca Múltiple,2002-11-30,3443869,3980482,,,,902845,31945469,1492706,13.83,8.35,6.66,0.67
Banca Múltiple,2002-12-31,3566951,4040787,,,,866154,32379638,1391788,12.52,7.58,8.43,0.83
Banca Múltiple,2003-01-31,3561536,4007834,,,,866919,31136751,1489337,12.99,7.95,8.1,0.81
Banca Múltiple,2003-02-28,3608198,4033668,,,,894076,31396644,1506821,13.0,7.9,7.64,0.77
Banca Múltiple,2003-03-31,3634615,4072603,,,,918654,31364659,1476399,13.25,7.71,7.35,0.71
Banca Múltiple,2003-04-30,3653694,4150754,,,,918396,31809578,1553010,13.03,7.82,7.55,0.74
Banca Múltiple,2003-05-31,3739027,4224707,,,,940169,31930197,1530772,12.95,7.72,8.14,0.81
Banca Múltiple,2003-06-30,3768353,4277516,,,,957520,31803228,1509501,13.07,7.73,8.46,0.85
Banca Múltiple,2003-07-31,3790346,4324640,,,,966265,31748988,1594240,12.8,7.96,8.74,0.89
Banca Múltiple,2003-08-31,3850275,4398778,,,,982626,31668811,1523290,12.52,7.66,8.67,0.89
Banca Múltiple,2003-09-30,3894213,4441381,,,,992208,31376674,1459967,13.43,7.58,9.02,0.94
Banca Múltiple,2003-10-31,3973539,4475853,,,,1010824,31346872,1369699,13.8,7.18,9.52,1.0
Banca Múltiple,2003-11-30,4061274,4558611,,,,1063329,31909518,1309127,13.48,6.81,10.23,1.07
Banca Múltiple,2003-12-31,4144218,4577048,,,,1030661,31284167,1088275,13.28,5.8,10.85,1.11
Banca Múltiple,2004-01-31,4185787,4667991,,,,1006877,31003491,1141948,13.38,5.98,11.08,1.13
Banca Múltiple,2004-02-29,4216546,4693156,,,,1006734,30564239,1064612,13.77,5.79,11.15,1.17
Banca Múltiple,2004-03-31,4322285,4725367,,,,1241807,31135930,1084109,14.19,5.75,12.35,1.23
Banca Múltiple,2004-04-30,4358305,4815256,,,,1259125,31855927,1092043,14.13,5.69,12.21,1.22
Banca Múltiple,2004-05-31,4436880,4880531,,,,1281273,32520624,1062760,13.92,5.5,11.51,1.16
Banca Múltiple,2004-06-30,4503693,4937747,,,,1304748,32832691,896196,14.06,5.1,11.3,1.14
Banca Múltiple,2004-07-31,4495291,4928366,,,,1314408,32727518,921318,14.06,5.06,10.93,1.11
Banca Múltiple,2004-08-31,4533826,4916972,,,,1316515,32122517,867530,14.22,4.93,10.74,1.12
Banca Múltiple,2004-09-30,4569091,4984396,,,,1344292,31786083,815710,14.06,4.59,10.7,1.11
Banca Múltiple,2004-10-31,4652812,5039725,,,,1396809,31960829,798490,14.01,4.47,10.81,1.14
Banca Múltiple,2004-11-30,4745277,5094853,,,,1497143,32209872,707911,14.09,4.14,10.66,1.13
Banca Múltiple,2004-12-31,4856009,5128398,,,,1538526,32697051,603442,13.99,3.71,11.26,1.18
Banca Múltiple,2005-01-31,4890647,5148559,,,,1518651,32457271,634480,13.88,3.78,11.29,1.16
Banca Múltiple,2005-02-28,4978695,5210370,,,,1560876,32489690,642713,13.98,3.76,11.87,1.22
Banca Múltiple,2005-03-31,5050874,5288737,,,,1601980,32980061,631801,13.96,3.59,12.42,1.27
Banca Múltiple,2005-04-30,5142685,5362055,,,,1648909,34081836,627503,13.71,3.44,13.07,1.34
Banca Múltiple,2005-05-31,5290057,5429031,,,,1697024,35029927,622591,13.45,3.3,13.85,1.41
Banca Múltiple,2005-06-30,5418943,5509043,,,,1743076,35845859,576165,13.46,3.0,14.57,1.48
Banca Múltiple,2005-07-31,5437098,5628597,,,,1794428,36419476,568019,13.21,2.93,15.83,1.61
Banca Múltiple,2005-08-31,5616481,5767988,,,,1830005,36488379,582875,13.18,2.9,18.52,1.87
Banca Múltiple,2005-09-30,5774559,5993702,,,,1907789,36906476,578591,13.12,2.68,19.48,1.96
Banca Múltiple,2005-10-31,5933116,6166187,,,,2003358,37915584,577526,12.97,2.59,20.21,2.02
Banca Múltiple,2005-11-30,6103592,6333345,,,,2140358,39582698,586903,12.46,2.51,21.32,2.12
Banca Múltiple,2005-12-31,6277761,6471139,,,,2173125,40938068,486793,11.98,2.14,22.16,2.18
Banca Múltiple,2006-01-31,6328141,6353520,,,,2135528,39465384,528525,12.3,2.26,22.31,2.18
Banca Múltiple,2006-02-28,6447865,6408057,,,,2195720,39961792,537047,12.2,2.29,22.59,2.19
